year,transistors,max_clock,clock,tdp,vdd_high,vdd_low
1995.0,9.66,600.0,600.0,,2.5,2.5
1995.0,9.66,612.0,612.0,55.0,2.5,2.5
1995.0,2.3,240.0,240.0,,3.3,3.3
1995.0,9.66,352.0,352.0,31.0,2.5,2.5
1996.0,4.3,75.0,75.0,,3.52,3.52
1996.0,4.3,90.0,90.0,11.0,3.52,3.52
1996.0,9.0,160.0,160.0,15.0,3.3,3.3
1996.0,3.0,120.0,120.0,12.0,3.3,3.3
1996.0,,132.0,132.0,,,
1996.0,3.0,170.0,170.0,9.0,3.3,3.3
1996.0,,180.0,180.0,,,
1996.0,15.0,77.0,77.0,,,
1996.0,5.1,166.0,166.0,,2.5,2.5
1996.0,6.8,196.0,196.0,,3.3,3.3
1996.0,6.8,180.0,180.0,,3.3,3.3
1996.0,6.8,195.0,195.0,,3.3,3.3
1996.0,5.1,250.0,250.0,,2.5,2.5
1996.0,5.1,233.0,233.0,,2.5,2.5
1996.0,5.1,225.0,225.0,,2.5,2.5
1996.0,5.1,200.0,200.0,,2.5,2.5
1996.0,6.8,200.0,200.0,,3.3,3.3
1996.0,2.6,200.0,200.0,5.5,2.5,2.5
1996.0,3.6,150.0,150.0,,3.3,3.3
1996.0,6.8,250.0,250.0,,3.3,3.3
1996.0,3.6,200.0,200.0,,3.3,3.3
1996.0,3.6,250.0,250.0,,3.3,3.3
1996.0,,200.0,200.0,15.7,2.9,2.7
1996.0,,166.0,166.0,13.1,2.9,2.7
1996.0,3.6,180.0,180.0,,3.3,3.3
1997.0,5.1,360.0,360.0,,1.9,1.9
1997.0,8.8,233.0,233.0,17.0,3.3,3.2
1997.0,7.5,300.0,300.0,21.5,2.0,2.8
1997.0,,225.0,225.0,12.3,3.6,3.45
1997.0,6.35,266.0,266.0,8.0,2.6,2.6
1997.0,4.5,200.0,200.0,7.3,2.8,2.8
1997.0,,233.0,233.0,7.9,2.8,2.8
1997.0,5.1,375.0,375.0,,1.9,1.9
1997.0,3.5,533.0,533.0,35.0,3.3,3.3
1997.0,5.1,350.0,350.0,8.0,1.9,1.9
1997.0,,180.0,180.0,9.4,3.6,3.45
1997.0,5.1,320.0,320.0,,1.9,1.9
1997.0,5.1,300.0,300.0,,1.9,1.9
1997.0,2.6,300.0,300.0,3.5,2.5,2.5
1997.0,,200.0,200.0,10.4,3.6,3.45
1997.0,,160.0,160.0,,,
1997.0,6.5,188.0,188.0,13.0,2.9,2.9
1997.0,5.1,332.0,332.0,,1.9,1.9
1998.0,5.7,600.0,600.0,20.0,2.5,2.5
1998.0,,333.0,333.0,20.6,2.0,2.0
1998.0,7.15,270.0,270.0,,2.5,2.5
1998.0,7.15,300.0,300.0,30.0,2.5,2.5
1998.0,7.15,350.0,350.0,,2.5,2.5
1998.0,,500.0,500.0,,,
1998.0,7.5,300.0,300.0,17.8,2.0,2.0
1998.0,7.15,360.0,360.0,,2.5,2.5
1998.0,15.2,466.0,466.0,80.0,2.3,2.1
1998.0,15.2,525.0,525.0,95.0,2.3,2.1
1998.0,,360.0,360.0,25.0,2.6,2.6
1998.0,15.2,575.0,575.0,100.0,2.3,2.1
1998.0,15.0,200.0,200.0,,,
1998.0,15.0,222.0,222.0,,,
1998.0,140.0,440.0,440.0,42.0,2.0,2.0
1998.0,,200.0,200.0,,2.5,2.5
1998.0,15.2,500.0,500.0,91.0,2.3,2.1
1998.0,,400.0,400.0,13.6,2.4,2.4
1998.0,9.3,333.0,333.0,11.4,2.4,2.4
1998.0,8.8,300.0,300.0,9.5,2.2,2.2
1998.0,15.0,375.0,375.0,,,
1998.0,6.35,400.0,400.0,8.0,2.6,2.6
1999.0,10.5,500.0,500.0,6.0,1.8,1.8
1999.0,,600.0,600.0,,,
1999.0,,450.0,450.0,21.0,1.9,1.9
1999.0,2.7,272.0,272.0,50.0,3.3,3.3
1999.0,9.5,500.0,500.0,28.0,2.0,2.0
1999.0,28.0,733.0,733.0,16.0,1.65,1.65
1999.0,21.3,450.0,450.0,17.1,2.4,2.4
1999.0,15.2,833.0,833.0,100.0,2.0,2.0
1999.0,15.2,750.0,750.0,,2.0,2.0
1999.0,15.2,731.0,731.0,,2.0,2.0
1999.0,15.2,700.0,700.0,,2.0,2.0
1999.0,15.2,667.0,667.0,73.0,2.0,2.0
1999.0,15.2,616.0,616.0,70.0,2.0,2.0
1999.0,22.0,750.0,750.0,,1.8,1.8
2000.0,29.0,600.0,600.0,53.0,1.6,1.6
2000.0,29.0,750.0,750.0,,1.6,1.6
2000.0,,400.0,400.0,,1.8,1.8
2000.0,22.0,450.0,450.0,16.0,2.2,2.2
2000.0,29.0,900.0,900.0,,1.7,1.7
2000.0,,550.0,550.0,,,
2000.0,,500.0,500.0,,,
2000.0,,440.0,440.0,,,
2000.0,37.0,1000.0,1000.0,49.0,1.8,1.8
2000.0,,1000.0,1000.0,22.0,1.7,1.7
2000.0,42.0,1500.0,1500.0,57.8,1.75,1.595
